Item,Category,Price,Quantity
Item1,Meat,36.81,39
Item2,Meat,22.78,45
Item3,Fruits,43.44,20
Item4,Fruits,1.14,1
Item5,Meat,11.81,55
Item6,Meat,30.46,42
Item7,Vegetables,3.33,25
Item8,Dairy,24.41,53
Item9,Beverages,35.5,77
Item10,Fruits,37.05,16
Item11,Vegetables,5.46,44
Item12,Meat,41.98,95
Item13,Vegetables,27.2,90
Item14,Beverages,38.0,70
Item15,Vegetables,17.53,20
Item16,Vegetables,9.08,82
Item17,Meat,19.76,71
Item18,Dairy,14.24,36
Item19,Fruits,9.11,17
Item20,Fruits,6.56,93
Item21,Vegetables,8.18,24
Item22,Beverages,17.69,71
Item23,Dairy,15.89,8
Item24,Meat,6.31,29
Item25,Fruits,14.0,46
Item26,Meat,31.18,63
Item27,Meat,1.66,15
Item28,Dairy,7.36,51
Item29,Snacks,46.53,41
Item30,Dairy,30.59,53
Item31,Dairy,26.64,100
Item32,Meat,41.0,63
Item33,Fruits,14.37,55
Item34,Meat,1.0,70
Item35,Beverages,49.46,42
Item36,Vegetables,37.13,54
Item37,Dairy,49.71,94
Item38,Snacks,32.45,98
Item39,Dairy,10.7,8
Item40,Snacks,2.97,54
Item41,Fruits,12.77,5
Item42,Dairy,23.14,36
Item43,Beverages,36.04,87
Item44,Dairy,4.3,6
Item45,Fruits,32.83,89
Item46,Meat,23.29,74
Item47,Meat,47.28,7
Item48,Meat,38.03,72
Item49,Vegetables,24.97,59
Item50,Beverages,39.01,54
Item51,Fruits,26.74,42
Item52,Snacks,44.9,44
Item53,Vegetables,12.41,36
Item54,Beverages,42.5,86
Item55,Beverages,8.61,28
Item56,Dairy,45.42,37
Item57,Beverages,23.05,43
Item58,Snacks,20.53,73
Item59,Dairy,42.88,25
Item60,Snacks,15.83,57
Item61,Beverages,11.85,64
Item62,Dairy,24.62,81
Item63,Dairy,36.79,24
Item64,Snacks,9.36,72
Item65,Snacks,34.17,4
Item66,Vegetables,41.56,31
Item67,Fruits,4.61,57
Item68,Fruits,42.6,63
Item69,Meat,28.95,28
Item70,Fruits,39.9,84
Item71,Meat,23.19,37
Item72,Dairy,48.28,18
Item73,Dairy,42.98,100
Item74,Meat,11.45,16
Item75,Dairy,46.21,74
Item76,Dairy,48.59,82
Item77,Snacks,22.72,86
Item78,Fruits,44.32,53
Item79,Beverages,21.94,5
Item80,Snacks,26.0,8
Item81,Snacks,17.19,41
Item82,Snacks,20.06,18
Item83,Meat,17.35,91
Item84,Fruits,49.59,23
Item85,Vegetables,26.55,53
Item86,Vegetables,25.77,100
Item87,Meat,47.52,54
Item88,Dairy,23.33,17
Item89,Dairy,31.77,94
Item90,Fruits,17.49,17
Item91,Meat,32.76,71
Item92,Beverages,22.85,33
Item93,Dairy,6.54,99
Item94,Fruits,1.54,10
Item95,Fruits,9.3,59
Item96,Vegetables,32.11,47
Item97,Vegetables,9.98,23
Item98,Dairy,43.05,84
Item99,Dairy,23.31,81
